F1,id,neighbourhood,latitude,longitude,room_type,price,days_occupied_in_2019,minimum_nights,number_of_reviews,reviews_per_month,availability_2020
2821,1807757,12,40.73246,-74.00215,2,199,334,10,5,0.07,0
22828,19767924,12,40.71609,-73.99204,2,198,341,10,4,0.15,0
26772,22268101,12,40.72847,-74.00068,2,149,346,10,8,0.33,5
34661,30047272,12,40.76571,-73.99307,2,400,353,10,4,0.35,0
31929,27578298,12,40.73995,-73.98401,2,150,353,10,1,0.07,22
31428,27112835,12,40.73916,-73.99471,2,85,354,10,1,0.09,0
22906,19815527,12,40.72361,-73.99467,2,300,354,10,16,0.62,29
18546,15917981,12,40.76126,-73.98636,2,190,361,10,5,0.14,0
23098,19945327,12,40.76602,-73.98323,2,105,363,10,6,0.26,5
28246,23644523,18,40.73976,-74.00953,2,200,5,10,11,0.56,365
3534,2301258,112,40.67262,-73.97351,2,305,330,10,10,0.14,3
27791,23129919,112,40.67226,-73.97251,2,100,337,10,12,0.56,0
2875,1855297,138,40.67845,-73.97072,2,110,227,10,10,0.2,87
15296,13116481,138,40.67641,-73.96775,2,499,337,10,10,0.25,22
6021,4681193,122,40.752,-73.88898,2,105,331,10,3,0.13,23
25933,21877426,93,40.67787,-74.00764,2,150,349,10,2,0.08,0
30262,25885192,73,40.78029,-73.95252,2,125,342,10,4,0.24,0
32165,27788826,73,40.76856,-73.95367,2,150,363,10,3,0.2,0
7056,5656639,157,40.78974,-73.97018,2,275,124,10,16,0.29,245
11462,9464835,157,40.78339,-73.98018,2,159,129,10,21,0.43,0
9288,7632731,157,40.7874,-73.97381,2,600,353,10,2,0.05,0
15398,13182531,119,40.85261,-73.94203,2,150,357,10,14,0.34,0
18538,15911434,22,40.73845,-74.00551,2,220,123,10,8,0.23,279
28769,24158816,22,40.73233,-74.00244,2,264,204,10,20,1.03,0
32793,28408608,126,40.71176,-73.96561,2,125,325,10,2,0.17,0
17259,14499400,126,40.71459,-73.9468,2,200,340,10,4,0.11,0
25639,21733510,111,40.67984,-73.95044,2,120,206,11,8,0.33,8
18622,15983174,111,40.67595,-73.97635,2,149,304,11,8,0.23,0
19803,16860045,69,40.76814,-73.89573,2,47,255,11,30,0.86,281
13025,10500222,12,40.73492,-74.00457,2,196,358,11,2,0.04,10
6489,4968798,122,40.75703,-73.87667,2,45,364,11,30,0.52,225
9680,7900722,126,40.71139,-73.94176,2,175,361,11,11,0.22,0
7080,5684940,114,40.72322,-73.98283,2,195,331,12,10,0.18,150
29548,25004481,154,40.69167,-73.94672,2,300,185,12,3,0.17,0
5620,4396465,111,40.70963,-73.96483,2,225,132,12,35,0.57,73
3766,2569808,111,40.71075,-73.95676,2,125,287,12,45,0.67,6
31038,26743617,111,40.69701,-73.93002,2,100,346,12,1,0.09,0
10190,8385284,55,40.70054,-73.91185,2,100,364,12,8,0.19,0
1579,765569,34,40.69594,-73.98375,2,175,270,12,65,0.76,0
19597,16648750,174,40.72883,-73.98639,2,220,185,12,2,0.08,89
4375,3293842,17,40.66294,-73.99675,2,121,332,12,8,0.12,0
18999,16260496,74,40.65963,-73.96174,2,52,352,12,19,0.68,0
30372,26004664,12,40.76591,-73.97886,2,333,298,12,3,0.21,0
27897,23274386,12,40.78785,-73.94249,2,105,363,12,10,0.48,1
5112,3967492,12,40.72777,-73.99005,2,129,363,12,28,0.57,3
21754,18949137,46,40.81002,-73.95958,2,120,310,12,11,0.36,0
28143,23554330,73,40.77825,-73.94719,2,135,116,12,4,0.21,248
19022,16274061,157,40.8,-73.97018,2,115,16,12,7,0.4,317
10654,8816070,119,40.84121,-73.93881,2,80,357,12,27,0.59,57
14911,12846048,111,40.66896,-73.97641,2,170,190,13,6,0.14,170
22152,19246634,111,40.64676,-73.97403,2,93,240,13,7,0.24,64
